"Source","Target","Type","Implementation","Status","Notes"
"student-guides/assistive-technology-rehabilitation-hyderabad/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"student-guides/mental-health-rehabilitation-hyderabad/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"student-guides/water-therapy-rehabilitation-hyderabad/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"student-guides/post-surgery-rehabilitation-hyderabad/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"student-guides/cardiopulmonary-rehabilitation-hyderabad/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"student-guides/community-rehabilitation-hyderabad/?$","https://smru.edu.in/schools/rehabilitation-sciences/","301","public/.htaccess","active","Phase 3 consolidation"
"student-guides/rehabilitation-hospital-near-deshmukhi/?$","https://smru.edu.in/campus-location-hyderabad/","301","public/.htaccess","active","Phase 3 consolidation"
"(blackbucks)/?$","https://smru.edu.in/partner/bb/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(bytexl)/?$","https://smru.edu.in/partner/bytexl/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(carrer)/?$","https://smru.edu.in/careers/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(ctpl)/?$","https://apply.smru.edu.in/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(edinbox)/?$","https://smru.edu.in/partner/edinbox/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(edridge)/?$","https://smru.edu.in/partner/edridge/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(emversity)/?$","https://smru.edu.in/partner/emversity/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(entrancetest)/?$","https://smru.edu.in/exam-notification/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(iiat|ist|mjiollnir|onnbikes|university)/?$","https://smru.edu.in/partner/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(nst)/?$","https://smru.edu.in/partner/nst/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(qtst-smru)/?$","https://smru.edu.in/partner/qtst/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"(veloces)/?$","https://smru.edu.in/partner/veloces/","301","public/.htaccess","active","Legacy alias with a client shell under app/; server 301 added 17 Sep 2026"
"departments/(allied-health-sciences|occupational-therapy|physiotherapy)/?$","https://smru.edu.in/schools/health-allied-health-sciences/$1/","301","public/.htaccess","active","Legacy /departments/{dept}/ URL -> canonical department hub (mirrors the app/departments/[deptSlug] shell)"
"departments/(applied-psychology-behavioural-health|clinical-psychology|rehabilitation-psychology)/?$","https://smru.edu.in/schools/psychology/$1/","301","public/.htaccess","active","Legacy /departments/{dept}/ URL -> canonical department hub (mirrors the app/departments/[deptSlug] shell)"
"departments/(audiology-speech-sciences|inclusive-education|prosthetics-orthotics)/?$","https://smru.edu.in/schools/rehabilitation-sciences/$1/","301","public/.htaccess","active","Legacy /departments/{dept}/ URL -> canonical department hub (mirrors the app/departments/[deptSlug] shell)"
"departments/(business-administration-computer-applications|computer-science-engineering|rehabilitation-engineering-assistive-technologies|sciences-humanities)/?$","https://smru.edu.in/schools/engineering-emerging-technologies/$1/","301","public/.htaccess","active","Legacy /departments/{dept}/ URL -> canonical department hub (mirrors the app/departments/[deptSlug] shell)"
"departments/(legal-studies)/?$","https://smru.edu.in/schools/law/$1/","301","public/.htaccess","active","Legacy /departments/{dept}/ URL -> canonical department hub (mirrors the app/departments/[deptSlug] shell)"
"departments/(nursing)/?$","https://smru.edu.in/schools/nursing-sciences/$1/","301","public/.htaccess","active","Legacy /departments/{dept}/ URL -> canonical department hub (mirrors the app/departments/[deptSlug] shell)"
"/bb/","/partner/bb","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/blackbucks/","/partner/bb","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/bytexl/","/partner/bytexl","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/carrer/","/careers/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/ctpl/","https://apply.smru.edu.in/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/allied-health-sciences/","/schools/health-allied-health-sciences/allied-health-sciences/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/applied-psychology-behavioural-health/","/schools/psychology/applied-psychology-behavioural-health/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/audiology-speech-sciences/","/schools/rehabilitation-sciences/audiology-speech-sciences/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/business-administration-computer-applications/","/schools/engineering-emerging-technologies/business-administration-computer-applications/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/clinical-psychology/","/schools/psychology/clinical-psychology/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/computer-science-engineering/","/schools/engineering-emerging-technologies/computer-science-engineering/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/inclusive-education/","/schools/rehabilitation-sciences/inclusive-education/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/legal-studies/","/schools/law/legal-studies/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/nursing/","/schools/nursing-sciences/nursing/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/occupational-therapy/","/schools/health-allied-health-sciences/occupational-therapy/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/physiotherapy/","/schools/health-allied-health-sciences/physiotherapy/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/prosthetics-orthotics/","/schools/rehabilitation-sciences/prosthetics-orthotics/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/rehabilitation-engineering-assistive-technologies/","/schools/engineering-emerging-technologies/rehabilitation-engineering-assistive-technologies/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/rehabilitation-psychology/","/schools/psychology/rehabilitation-psychology/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/departments/sciences-humanities/","/schools/engineering-emerging-technologies/sciences-humanities/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/edinbox/","/partner/edinbox","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/edridge/","/partner/edridge","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/emversity/","/partner/emversity","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/engineering-emerging-technologies/","/schools/engineering-emerging-technologies","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/entrancetest/","/exam-notification/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/explore-smru/","/explore","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/explore-stmarys/","/explore","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/health-allied-health-sciences/","/schools/health-allied-health-sciences","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/iiat/","/partner","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/ist/","/partner","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/law/","/schools/law","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/llm/","/schools/law/legal-studies/llm/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/mjiollnir/","/partner","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/niat/","/partner/niat","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/nst/","/partner/nst","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/nursing-sciences/","/schools/nursing-sciences","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/onnbikes/","/partner","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/phd-law/","/schools/law/legal-studies/phd-law/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/psychology/","/schools/psychology","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/qtst-smru/","/partner/qtst","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/qtst/","/partner/qtst","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/rehabilitation-sciences/","/schools/rehabilitation-sciences","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/schools/law/legal-studies/llb-general/","/schools/law/legal-studies/llb/","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/skilgen/","/partner/skilgen","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/university/","/partner","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
"/veloces/","/partner/veloces","meta refresh + location.replace","route shell","active","server 301 in public/.htaccess also covers this path"
